id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
174886,"Audio Lounge, The",https://theaudioloungestudio.com/,The Audio Lounge,,,website,06/12/2022,False,Music,MUSIC : STUDIO, ,"Site of a music rehearsal and recording studio in Wyndford, Glasgow.","Wyndford",G20 9BT
174932,Viv Latifa,https://vivlatifaofficial.format.com/,Viv Latifa,,,website,07/12/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a musician based in Edinburgh.,"Edinburgh",
174937,Off the Record,https://www.otrscot.com/,Off the Record,,,website,07/12/2022,False,Music,MUSIC : MUSIC INDUSTRY,,Site of a community interest company in Scotland staging events for young musicians forging a career in the music industry connecting people with experience with those young musicians.,,
174941,Extrapolation Records on Bandcamp,https://extrapolationrecords.bandcamp.com/,Extrapolation Records,,,website,07/12/2022,False,Music,MUSIC : RECORD COMPANY,,Site of a record company based in Glasgow.,"Glasgow",
174942,Cyrano,https://cyranomusic.com/,Cyrano,,,website,07/12/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Scottish musician.,,
174943,A. Wesley Chung on Bandcamp,https://awesleychung.bandcamp.com/,A. Wesley Chung,,,website,07/12/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Scottish musician.,,
174944,LOVE SICK,https://www.thisislovesick.com/,LOVE SICK,,,website,07/12/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Scottish band.,,
175705,Ancient Circle on Bandcamp,https://ancientcircle.bandcamp.com/,Ancient Circle,,,website,16/12/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of an alternative-indie band from Glasgow.,,
175726,Martha on Bandcamp,https://marthadiy.bandcamp.com/,Martha,,,website,19/12/2022,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of an alternative-indie band based in Durham.,"Durham",
175964,Crawford Bell,https://www.crawfordbell.com/,Crawford Bell,,,website,04/01/2023,False,Music,MUSIC : COUNTRY,,,,
175982,Milvus Milvus,http://www.milvusmilvus.co.uk/,Milvus Milvus,,,website,04/01/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of an alternative-indie band based in Glasgow.,"Glasgow",
176018,Southern Tenant Folk Union,http://www.southerntenantfolkunion.com/,Southern Tenant Folk Union,Q16847261,https://www.wikidata.org/wiki/Q16847261,website,04/01/2023,False,Music,MUSIC : TRADITIONAL / FOLK,,Site of an Americana group based in Edinburgh.,"Edinburgh",
176146,Domiciles on Bandcamp,https://domiciles.bandcamp.com/,Domiciles,,,website,06/01/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of an alternative-indie band from Dumfries, Dumfries & Galloway.",,
179531,V.C.O on Bandcamp,https://vcoband.bandcamp.com/,V.C.O.,Q131646363,https://www.wikidata.org/wiki/Q131646363,website,01/03/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of an alternative-indie band from Glasgow.,,
179719,Stockbridge Music Hub,https://www.musichub.uk/,Stockbridge Music Hub,,,website,03/03/2023,False,Music,MUSIC : VENUE,,"Site of a music venue in Stock Bridge Church, Edinburgh.","Edinburgh",
181994,Midnight Sun Weekender [Midnight Sun Festivals],https://www.midnightsunweekenderstornoway.com/,Midnight Sun Festivals,,,website,03/04/2023,False,Music,MUSIC : FESTIVAL,,"Site of a music festival staged in Stornoway, Isle of Lewis, Western Isles.","Stornoway, Isle of Lewis",
181995,Becky Sikasa,https://beckysikasa.com/,Becky Sikasa,,,website,03/04/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a musician based in Scotland.,,
