id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
48248,Honeyblood,http://honeyblood.co.uk/,Honeyblood,Q19585768,https://www.wikidata.org/wiki/Q19585768,website,13/01/2017,True,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of an independent folk, rock group based in Scotland.",,
48258,Jesus and Mary Chain,http://thejesusandmarychain.uk.com/,The Jesus and Mary Chain,Q1126301,https://www.wikidata.org/wiki/Q1126301,website,13/01/2017,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site for a Scottish rock music group.,,
48461,Tuff Love,http://reallytufflove.com/,Tuff Love,,,website,18/01/2017,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Glasgow based pop / rock music group.,,
48654,Drake Music Scotland,http://www.drakemusicscotland.org/,Drake Music Scotland,,,website,23/01/2017,True,Music,MUSIC,,"Site of an arts organisation providing music making opportunities for people with disabilities using expertise in inclusive music technology and specialist teaching methods to support people of all ages and a wide range of disabilities to play, learn and compose music independently.",,
48914,Malinky,http://malinky.com/,Malinky,,,website,31/01/2017,True,Music,MUSIC : TRADITIONAL / FOLK,,Site of a Scottish music group specialiasing in Scottish folk / traditional songs.,,
49002,New Music Scotland,http://www.newmusicscotland.co.uk/,New Music Scotland,,,website,02/02/2017,True,Music,MUSIC,,"Site of a network of artists, ensembles, orchestras, composers, creators, music educators, sound artists, musicians, producers, promoters and people who value to creation of new music in Scotland; organisaed as a cooperative.",,
49671,Scottish Opera,https://www.scottishopera.org.uk/,Scottish Opera,Q2972759,https://www.wikidata.org/wiki/Q2972759,website,22/02/2017,True,Music,MUSIC,,Site of Scotland's national opera company.,,
49675,Kirkcaldy Amateur Operatic Society,http://www.visitkaos.co.uk/,Kirkcaldy Amateur Operatic Society,,,website,22/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre company based in Kirkcaldy, Fife.","Kirkcaldy",
49676,Cupar Amateur Musical Society,http://cuparams.sharepoint.com/,Cupar Amateur Musical Society,,,website,22/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre society based in Cupar, Fife.","Cupar",
49693,Dunfermline Gilbert & Sullivan Society,http://dgass.org.uk/,Dunfermline Gilbert & Sullivan Society,,,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur operatic group aiming to foster and maintain a knowledge and appreciation of the works of W S Gilbert and Arthur Sullivan by regular, public performance of their works. Based in Dunfermline, Fife.",,
49694,GAMA Youth,http://www.gamayouth.co.uk/,Glenrothes Amateur Musical Association,,,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of the youth section of an amateur musical theatre association set up to to encourage participation in, and appreciation of, all aspects of musical theatre, involving staging of a live production.",,
49695,Youth Music Theatre Scotland,https://youthmusictheatrescotland.wordpress.com/,Youth Music Theatre Scotland,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"WordPress site for a Scottish charitable organisation dedicated to the development of children and young people, and those who help them learn, through creative learning opportunities in musical theatre; the company is artistically led, offering opportunities to participate in, generate, and engage with, all forms of theatre and film involving music.",,
49698,St. Andrews Musical Society,http://www.standrewsms.co.uk/,St. Andrews Musical Society,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre and operatic society based in St. Andrews, Fife.","St. Andrews",
49699,Kirkcaldy Gilbert & Sullivan Society,http://www.kirkgandss.co.uk/,Kirkcaldy Gilbert & Sullivan Society,,,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,Site of an amateur operatic society focusing on the works of W S Gilbert and Arthur Sullivan.,,
